ih_name,Page,Dataset type,HDX link,Page description,
insecurity-insight-cmr-dataset,"Cameroon (CMR): Attacks on Aid Operations, Education and Health Care",Country,https://data.humdata.org/dataset/cameroon-attacks-on-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education and health care services in [Cameroon](https://insecurityinsight.org/country-pages/cameroon). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-cod-dataset,"Democratic Republic of the Congo (COD): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence Incident Data",Country,https://data.humdata.org/dataset/attacks-on-ebola-response,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in the [DRC](https://insecurityinsight.org/country-pages/democratic-republic-of-the-congo). They also provide information on incidents of conflict related sexual violence (CRSV). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-eth-dataset,"Ethiopia (ETH): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/ethiopia-attacks-on-aid-operations-education-health-and-protection,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Ethiopia](https://insecurityinsight.org/country-pages/ethiopia). They also provide information on incidents of conflict related sexual violence (CRSV) and explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-hti-dataset,Haiti (HTI): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/haiti-attacks-on-aid-operations-education-health-and-protection,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Haiti](https://insecurityinsight.org/country-pages/haiti). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-irq-dataset,Iraq (IRQ): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/iraq-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in Iraq. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-lbn-dataset,"Lebanon (LBN): Attacks on Aid Operations, Health Care and IDP/Refugee Camps",Country,https://data.humdata.org/dataset/aid-security-risk-in-lebanon,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, health care services and refugee and IDP camps in [Lebanon](https://insecurityinsight.org/country-pages/lebanon). Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-lby-dataset,"Libya (LBY): Attacks on Aid Operations and Health Care, and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/libya-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Libya](https://insecurityinsight.org/country-pages/libya). They also provide information on incidents of explosive weapons use affecting aid access, education and health care services.  Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-mli-dataset,Mali (MLI): Attacks on Aid Operations and Health Care,Country,"https://data.humdata.org/dataset/mali-violence-against-civilians-and-vital-civilian-facilities","These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Mali](https://insecurityinsight.org/country-pages/mali). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-mex-dataset,Mexico (MEX): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/mexico-violent-and-threatening-incidents-against-health-care,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Mexico](https://insecurityinsight.org/country-pages/mexico). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-moz-dataset,Mozambique (MOZ): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/mozambique-attacks-on-aid-operations-education-health-and-protection,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Mozambique](https://insecurityinsight.org/country-pages/mozambique). Also included are datasets cited in the Safeguarding Health in Conflict Coalition (SHCC)'s annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-mmr-dataset,"Myanmar (MMR): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/myanmar-attacks-on-aid-operations-education-health-and-protection,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Myanmar](https://insecurityinsight.org/country-pages/myanmar). They also provide information on incidents of explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-ner-dataset,Niger (NER): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/niger-violence-against-cvilians-and-vital-civilian-facilities,These datasets contain information on reported incidents of violence and threats affecting aid operations and workers and health care services in [Niger](https://insecurityinsight.org/country-pages/niger). Please get in touch if you are interested in curated datasets: info@insecurityinsight.org,
insecurity-insight-nga-dataset,"Nigeria (NGA): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) Incident Data",Country,https://data.humdata.org/dataset/nigeria-violence-agaiinst-civilians-and-vital-civilian-faciltties,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Nigeria](https://insecurityinsight.org/country-pages/nigeria). They also provide information on incidents of conflict related sexual violence (CRSV). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-pak-dataset,Pakistan (PAK): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/pakistan-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Pakistan](https://insecurityinsight.org/pakistan). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-som-dataset,Somalia (SOM): Attacks on Aid Operations and Health Care,Country,https://data.humdata.org/dataset/somalia-violence-agaiinst-civilian-and-vital-civilian-facilitites,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, and health care services in [Somalia](https://insecurityinsight.org/country-pages/somalia). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-ssd-dataset,"South Sudan (SSD): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) Incident Data",Country,https://data.humdata.org/dataset/south-sudan-attacks-on-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [South Sudan](https://insecurityinsight.org/country-pages/south-sudan). They also provide information on incidents of conflict related sexual violence (CRSV). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-pse-dataset,"State of Palestine (PSE): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in the [oPt](https://insecurityinsight.org/country-pages/occupied-palestinian-territory-opt). They also provide information on incidents of conflict related sexual violence (CRSV) and explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-sdn-dataset,"Sudan (SDN): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/sudan-violence-against-civilians-and-vital-civilian-facilities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Sudan](https://insecurityinsight.org/country-pages/sudan).They also provide information on incidents of conflict related sexual violence (CRSV) and explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-syr-dataset,"Syria (SYR): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/syria-violent-and-threatening-incidents-against-healthcare,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Syria](https://insecurityinsight.org/country-pages/syria). Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-ukr-dataset,"Ukraine (UKR): Attacks on Aid Operations, Education, Health Care, and Conflict-related Sexual Violence (CRSV) and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/ukraine-data-on-attacks-on-aid-operations-education-health-and-protection,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Ukraine](https://insecurityinsight.org/country-pages/ukraine).They also provide information on incidents of conflict related sexual violence (CRSV) and explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
insecurity-insight-yem-dataset,"Yemen (YEM): Attacks on Aid Operations, Education, Health Care and IDP/Refugee Camps, and Explosive Weapons Incident Data",Country,https://data.humdata.org/dataset/yemen-violence-aganist-civilian-and-vital-civilian-faciltities,"These datasets contain information on reported incidents of violence and threats affecting aid operations and workers, education, health care services and refugee and IDP camps in [Yemen](https://insecurityinsight.org/country-pages/yemen). They also provide information on incidents of explosive weapons use affecting aid access, education and health care services. Also included are datasets cited in the [Safeguarding Health in Conflict Coalition (SHCC)'s](https://www.safeguardinghealth.org/) annual reports. Please get in touch if you are interested in curated datasets: info@insecurityinsight.org",
