dataset_name,field_name,field_number,field_type
explosiveWeapons-incidents,Date,0,"datetime64[ns, UTC]"
explosiveWeapons-incidents,Event Description,1,str
explosiveWeapons-incidents,Country,2,str
explosiveWeapons-incidents,Country ISO,3,str
explosiveWeapons-incidents,Admin 1,4,str
explosiveWeapons-incidents,Latitude,5,float64
explosiveWeapons-incidents,Longitude,6,float64
explosiveWeapons-incidents,Geo Precision,7,str
explosiveWeapons-incidents,Sector Affected,8,str
explosiveWeapons-incidents,Provider,9,str
explosiveWeapons-incidents,Launch Type,10,str
explosiveWeapons-incidents,Explosive Weapon Type,11,str
explosiveWeapons-incidents,Reported Perpetrator,12,str
explosiveWeapons-incidents,Reported Perpetrator Name,13,str
explosiveWeapons-incidents,Affected,14,str
explosiveWeapons-incidents,Aid Workers Killed,15,int64
explosiveWeapons-incidents,Health Workers Killed,16,int64
explosiveWeapons-incidents,Aid Health Workers Killed,17,int64
explosiveWeapons-incidents,Educators Killed,18,int64
explosiveWeapons-incidents,Students Killed,19,int64
explosiveWeapons-incidents,Food Security,20,int64
explosiveWeapons-incidents,SiND Event ID,21,str
explosiveWeapons-overview,Country,0,str
explosiveWeapons-overview,Year,1,str
explosiveWeapons-overview,Country ISO,2,str
explosiveWeapons-overview,Number Of Events,3,str
explosiveWeapons-overview,Health Affected,4,int64
explosiveWeapons-overview,Education Affected,5,int64
explosiveWeapons-overview,Aid Operations Affected,6,int64
explosiveWeapons-overview,Protection Affected,7,int64
explosiveWeapons-overview,Air-Delivered Incident,8,str
explosiveWeapons-overview,Ground-Launched Incident,9,str
explosiveWeapons-overview,Directly-Emplaced Incident,10,str
explosiveWeapons-overview,Food Security,11,str
foodSecurity-incidents,Date,0,"datetime64[ns, UTC]"
foodSecurity-incidents,Event Description,1,str
foodSecurity-incidents,Country,2,str
foodSecurity-incidents,Country ISO,3,str
foodSecurity-incidents,Admin 1,4,str
foodSecurity-incidents,Latitude,5,float64
foodSecurity-incidents,Longitude,6,float64
foodSecurity-incidents,Geo Precision,7,str
foodSecurity-incidents,Location of Incident,8,str
foodSecurity-incidents,Reported Perpetrator,9,str
foodSecurity-incidents,Reported Perpetrator Name,10,str
foodSecurity-incidents,Weapon Carried/Used,11,str
foodSecurity-incidents,Infrastructure Affected,12,str
foodSecurity-incidents,SiND Event ID,13,str
foodSecurity-incidents,FoodSecurity,14,str
foodSecurity-overview,Country,0,str
foodSecurity-overview,Year,1,str
foodSecurity-overview,Country ISO,2,str
foodSecurity-overview,Number Of Events,3,str
healthcare-incidents,Date,0,"datetime64[ns, UTC]"
healthcare-incidents,Event Description,1,str
healthcare-incidents,Country,2,str
healthcare-incidents,Country ISO,3,str
healthcare-incidents,Admin 1,4,str
healthcare-incidents,Latitude,5,float64
healthcare-incidents,Longitude,6,float64
healthcare-incidents,Geo Precision,7,str
healthcare-incidents,Reported Perpetrator,8,str
healthcare-incidents,Reported Perpetrator Name,9,str
healthcare-incidents,Weapon Carried/Used,10,str
healthcare-incidents,Location of Incident,11,str
healthcare-incidents,Number of Attacks on Health Facilities Reporting Destruction,12,int64
healthcare-incidents,Number of Attacks on Health Facilities Reporting Damaged,13,int64
healthcare-incidents,Forceful Entry into Health Facility,14,int64
healthcare-incidents,Occupation of Health Facility,15,int64
healthcare-incidents,Vicinity of Health Facility Affected,16,int64
healthcare-incidents,Health Transportation Destroyed,17,int64
healthcare-incidents,Health Transportation Damaged,18,int64
healthcare-incidents,Health Transportation Stolen/Hijacked,19,int64
healthcare-incidents,Looting/Theft/Robbery/Burglary of Health Supplies,20,int64
healthcare-incidents,Access Denied or Obstructed,21,int64
healthcare-incidents,Health Workers Killed,22,int64
healthcare-incidents,Health Workers Injured,23,int64
healthcare-incidents,Health Workers Kidnapped,24,int64
healthcare-incidents,Health Workers Arrested,25,int64
healthcare-incidents,Known Kidnapping or Arrest Outcome,26,str
healthcare-incidents,Health Workers Threatened,27,int64
healthcare-incidents,Health Workers Assaulted,28,int64
healthcare-incidents,Health Workers Sexually Assaulted,29,int64
healthcare-incidents,Conflict-Related Violence,30,str
healthcare-incidents,Political-Related Violence,31,str
healthcare-incidents,COVID-19-Related Violence,32,str
healthcare-incidents,Ebola-Related Violence,33,str
healthcare-incidents,Vaccination-Related Violence,34,str
healthcare-incidents,SiND Event ID,35,str
healthcare-overview,Country,0,str
healthcare-overview,Year,1,str
healthcare-overview,Country ISO,2,str
healthcare-overview,Number Of Events,3,str
healthcare-overview,Number of Attacks on Health Facilities Reporting Damege or Dest,4,str
healthcare-overview,Health Workers Killed,5,int64
healthcare-overview,Health Workers Injured,6,int64
healthcare-overview,Health Workers Kidnapped,7,int64
healthcare-overview,Health Workers Arrested,8,int64
protection-incidents,Date,0,"datetime64[ns, UTC]"
protection-incidents,Event Description,1,str
protection-incidents,Country,2,str
protection-incidents,Country ISO,3,str
protection-incidents,Admin 1,4,str
protection-incidents,Latitude,5,float64
protection-incidents,Longitude,6,float64
protection-incidents,Geo Precision,7,str
protection-incidents,Camp Name,8,str
protection-incidents,Reported Perpetrator,9,str
protection-incidents,Reported Perpetrator Name,10,str
protection-incidents,Weapon Carried/Used,11,str
protection-incidents,Protection Event Context,12,str
protection-incidents,Victim of Violence,13,str
protection-incidents,Survivor or Victim Sex,14,str
protection-incidents,Survivor or Victim Minor,15,str
protection-incidents,Number of Attacks on Camps Reporting Destruction,16,int64
protection-incidents,Number of Attacks on Camps Reporting Damaged,17,int64
protection-incidents,Camp Resident Killed,18,int64
protection-incidents,Camp Resident Injured,19,int64
protection-incidents,Camp Residents Kidnapped,20,int64
protection-incidents,Camp Residents Arrested,21,int64
protection-incidents,Camp Residents Targeted with CRSV,22,int64
protection-incidents,Service Provider Killed,23,int64
protection-incidents,Service Provider Kidnapped,24,int64
protection-incidents,Service Provider Arrested,25,int64
protection-incidents,Service Provider Targeted with CRSV,26,str
protection-incidents,SiND ID,27,str
protection-overview,Country,0,str
protection-overview,Year,1,str
protection-overview,Country ISO,2,str
protection-overview,Number Of Events,3,str
protection-overview,Number of incidents involving state perpetrators,4,str
protection-overview,Number of incidents involving non-state perpetrators,5,str
protection-overview,Number of events involving shelling/airstrikes,6,str
protection-overview,Number of events involving firearms,7,str
protection-overview,Number of events involving arson,8,str
protection-overview,Total number of camp infastructure damaged/destroyed,9,str
protection-overview,Total number of camp residents killed,10,int64
protection-overview,Total number of service providers killed,11,int64
